bé;h;1
h;his;1
his;hisis;1
hisis;hisisis;1
h;c1;1
his;c1;1
c1;d1;2
c1;cis1;1
c1;ces1;-1
cis1;d1;1
cis1;cisis1;1
cisis1;cisisis1;1
ces1;c1;1
ces1;ceses1;-1
ceses1;ceseses1;-1
d1;e1;2
d1;dis1;1
d1;des1;-1
dis1;e1;1
dis1;disis1;1
disis1;disisis1;1
des1;d1;1
des1;deses1;-1
deses1;deseses1;-1
e1;f1;1
e1;eis1;1
e1;es1;-1
eis1;f1;0
eis1;eisis1;1
eisis1;eisisis1;1
es1;e1;1
es1;eses1;-1
eses1;eseses1;-1
f1;g1;2
f1;fis1;1
f1;fes1;-1
fis1;g1;1
fis1;fisis1;1
fisis1;fisisis1;1
fes1;f1;1
fes1;feses1;-1
feses1;feseses1;-1
g1;a1;2
g1;gis1;1
g1;ges1;-1
gis1;a1;1
gis1;gisis1;1
gisis1;gisisis1;1
ges1;g1;1
ges1;geses1;-1
geses1;geseses1;-1
a1;h1;2
a1;ais1;1
a1;as1;-1
ais1;h1;1
ais1;aisis1;1
aisis1;aisisis1;1
as1;a1;1
as1;asas1;-1
asas1;asasas1;-1
h1;c2;1
h1;his1;1
h1;bé1;-1
his1;c2;0
his1;hisis1;1
hisis1;hisisis1;1
bé1;h1;1
bé1;heses1;-1
heses1;heseses1;-1
c2;d2;2
c2;cis2;1
c2;ces2;-1
cis2;d2;1
cis2;cisis2;1
cisis2;cisisis2;1
ces2;c2;1
ces2;ceses2;-1
ceses2;ceseses2;-1
d2;e2;2
d2;dis2;1
d2;des2;-1
dis2;e2;1
dis2;disis2;1
disis2;disisis2;1
des2;d2;1
des2;deses2;-1
deses2;deseses2;-1
e2;f2;1
e2;eis2;1
e2;es2;-1
eis2;f2;0
eis2;eisis2;1
eisis2;eisisis2;1
es2;e2;1
es2;eses2;-1
eses2;eseses2;-1
f2;g2;2
f2;fis2;1
f2;fes2;-1
fis2;g2;1
fis2;fisis2;1
fisis2;fisisis2;1
fes2;f2;1
fes2;feses2;-1
feses2;feseses2;-1
g2;a2;2
g2;gis2;1
g2;ges2;-1
gis2;a2;1
gis2;gisis2;1
gisis2;gisisis2;1
ges2;g2;1
ges2;geses2;-1
geses2;geseses2;-1
a2;ais2;1
a2;as2;-1
ais2;aisis2;1
aisis2;aisisis2;1
as2;a2;1
as2;asas2;-1
asas2;asasas2;-1
